,player,team,pos,season,gp,mp,index,ftr,orb_pct,ast_vs_tov,usg_pct,pct_close_shots,pct_mid_range,pct_of_twos_assisted,pct_of_threes_corner,pct_of_threes_assisted,3par,cluster
162,Jessica Breland,ATL,F,2019,33,767,162,0.12,5.7,1.224,18.9,0.218,0.643,0.821,0.0,1.0,0.138,1
163,Kalani Brown,LAS,C,2019,28,377,163,0.407,10.3,0.413,19.2,0.867,0.124,0.741,0.0,0.0,0.009,0
164,Lexie Brown,MIN,G,2019,33,605,164,0.182,1.4,0.818,19.8,0.201,0.153,0.531,0.052,0.962,0.646,4
165,Kennedy Burke,IND,G,2019,31,423,165,0.376,5.1,0.639,16.8,0.487,0.17,0.581,0.4,1.0,0.342,3
166,Liz Cambage,LVA,C,2019,32,807,166,0.398,8.7,1.235,28.1,0.735,0.214,0.691,0.167,0.5,0.031,6
167,Jordin Canada,SEA,G,2019,30,865,167,0.284,1.8,1.617,21.3,0.509,0.34299999999999997,0.24,0.023,1.0,0.149,4
168,Essence Carson,PHO,G,2019,23,425,168,0.289,3.1,1.371,18.0,0.297,0.383,0.29,0.195,0.929,0.32,4
169,Maite Cazorla,ATL,G,2019,31,477,169,0.258,0.4,0.813,12.3,0.312,0.097,0.375,0.364,0.923,0.591,3
170,Tina Charles,NYL,C,2019,33,1028,170,0.235,7.1,1.25,30.2,0.497,0.399,0.67,0.034,0.909,0.104,6
171,Layshia Clarendon,CON,G,2019,9,138,171,0.488,5.5,1.669,18.9,0.6980000000000001,0.256,0.375,0.0,1.0,0.047,1
172,Alysha Clark,SEA,F,2019,31,881,172,0.093,4.9,0.969,15.3,0.38,0.173,0.54,0.16,0.902,0.447,3
173,Natasha Cloud,WAS,G,2019,34,1093,173,0.215,0.7,1.377,15.5,0.32999999999999996,0.168,0.323,0.094,0.867,0.495,3
174,Nia Coffey,ATL,F,2019,28,389,174,0.302,6.2,0.508,20.3,0.331,0.252,0.52,0.241,1.0,0.417,1
175,Napheesa Collier,MIN,F,2019,34,1131,175,0.296,6.6,0.875,17.9,0.525,0.23199999999999998,0.715,0.157,0.967,0.243,1
176,Sydney Colson,LVA,G,2019,33,379,176,0.393,0.6,1.09,14.3,0.42899999999999994,0.31,0.286,0.3,0.889,0.238,3
177,Kahleah Copper,CHI,G-F,2019,34,502,177,0.343,2.8,0.619,24.1,0.505,0.255,0.453,0.327,0.933,0.24,5
178,Sophie Cunningham,PHO,G,2019,32,389,178,0.43,1.8,0.602,13.9,0.304,0.11399999999999999,0.643,0.239,0.857,0.582,3
179,Damiris Dantas,MIN,F,2019,26,667,179,0.126,5.2,1.181,17.7,0.272,0.209,0.638,0.075,0.976,0.519,1
180,Kaela Davis,DAL,F,2019,33,634,180,0.143,2.8,0.9,23.2,0.493,0.28600000000000003,0.283,0.137,0.938,0.221,5
181,Elena Delle Donne,WAS,F-G,2019,31,901,181,0.274,6.6,2.237,25.7,0.353,0.33899999999999997,0.548,0.066,0.827,0.283,6
182,Diamond DeShields,CHI,G,2019,34,1027,182,0.291,3.4,1.117,26.1,0.388,0.28200000000000003,0.549,0.215,0.94,0.328,5
183,Blake Dietrick,SEA,G,2019,17,106,183,0.6,1.1,0.498,9.8,0.0,0.4,0.0,0.333,0.0,0.6,3
184,Stefanie Dolson,CHI,C,2019,34,850,184,0.21,5.7,0.67,16.4,0.434,0.211,0.868,0.048,1.0,0.356,3
185,Candice Dupree,IND,F,2019,34,1043,185,0.152,2.7,1.274,19.3,0.273,0.719,0.793,0.0,0.0,0.008,4
186,Asia Durr,NYL,G,2019,18,480,186,0.145,1.2,0.983,16.6,0.29600000000000004,0.369,0.5,0.314,1.0,0.336,3
187,Temi Fagbenle,MIN,C,2019,18,271,187,0.222,10.1,0.347,20.0,0.481,0.44399999999999995,0.683,0.167,0.0,0.074,0
188,Sylvia Fowles,MIN,C,2019,34,1003,188,0.296,11.4,0.599,20.0,0.8089999999999999,0.191,0.741,0.0,0.0,0.0,0
