"Player","Team","Position","G","MP","PER","TSpct","3PAr","FTr","OREBpct","REBpct","ASTpct","STLpct","BLKpct","TOVpct","USGpct","OWS","DWS","WS","WS_40","Season"
"Lindsey Harding","TOT","G",26,443,8.1,0.427,0.075,0.236,1.1,6.7,21.8,1.4,0.3,17.6,14.5,-0.2,0.4,0.2,0.014,2016
"Kelly Faris","CON","G",31,317,6.5,0.512,0.377,0.283,4.3,7.2,9.9,3.5,1,32.7,12.1,-0.3,0.4,0.1,0.012,2016
"Carla Cortijo","ATL","G",27,294,10.9,0.454,0.354,0.252,1.6,8.2,26.3,1.4,0.3,16.6,24.9,-0.2,0.3,0.1,0.011,2016
"Kayla McBride","SAS","G",17,523,15,0.473,0.342,0.245,2.9,7.8,13.7,1.8,0.3,9.9,30.2,-0.3,0.4,0.1,0.01,2016
"Rachel Hollivay","ATL","C",32,284,3.8,0.374,0,0.842,8,13.3,2.1,0.5,3.4,17.4,9.6,-0.3,0.3,0.1,0.009,2016
"Jordan Hooper","DAL","F",32,291,9.2,0.515,0.732,0.071,3,7.4,3.2,1,0.5,12.2,19.5,0.1,0,0.1,0.009,2016
"Theresa Plaisance","DAL","F",27,320,8.6,0.479,0.417,0.102,7.5,12.2,4.5,1.1,2.6,14.4,17.8,-0.1,0.1,0.1,0.008,2016
"Erica Wheeler","IND","G",34,811,9.1,0.484,0.209,0.176,2.8,5.7,20,1.5,0.1,18.8,20.3,-0.4,0.5,0.1,0.006,2016
"Jelena Dubljevic","LAS","F",15,79,6.2,0.472,0.136,0.136,3.4,10.4,13.4,0.7,1,23.1,18,-0.1,0.1,0,0.003,2016
"Jazmon Gwathmey","SAS","G",22,351,6,0.436,0.346,0.167,3,6.5,7.9,1.2,1.8,11.6,12.5,-0.2,0.2,0,0.002,2016
"Tanisha Wright","NYL","G",29,668,8.6,0.449,0.086,0.234,3.9,5.7,25.3,2,0.6,23.6,18.7,-0.8,0.8,0,0.002,2016
"Alex Montgomery","SAS","G-F",25,357,8.6,0.431,0.327,0.122,4.9,8.9,19.6,1.5,0.9,16.2,15.9,-0.3,0.3,0,0,2016
"Evgeniya Belyakova","LAS","F",21,238,4.1,0.36,0.519,0.296,1.1,4,8.9,2.9,0.3,11.6,13.6,-0.4,0.4,0,-0.003,2016
"Ally Malott","WAS","F",23,179,7.7,0.455,0.653,0.224,4.1,8.7,9.3,1.8,1.3,18.2,16.9,-0.2,0.2,0,-0.008,2016
